id,label,x,y
06,lubelskie,222,354
06,lubelskie,192,402
06,lubelskie,167,393
06,lubelskie,138,399
06,lubelskie,155,426
06,lubelskie,176,468
06,lubelskie,141,508
06,lubelskie,158,552
06,lubelskie,258,610
06,lubelskie,348,592
06,lubelskie,363,630
06,lubelskie,417,598
06,lubelskie,448,637
06,lubelskie,462,598
06,lubelskie,517,621
06,lubelskie,552,673
06,lubelskie,618,633
06,lubelskie,646,655
06,lubelskie,633,706
06,lubelskie,661,724
06,lubelskie,796,690
06,lubelskie,827,764
06,lubelskie,868,802
06,lubelskie,911,799
06,lubelskie,883,836
06,lubelskie,965,928
06,lubelskie,1296,764
06,lubelskie,1341,661
06,lubelskie,1275,549
06,lubelskie,1322,414
06,lubelskie,1268,321
06,lubelskie,1259,138
06,lubelskie,1316,141
06,lubelskie,1394,20
06,lubelskie,1353,-80
06,lubelskie,1457,-230
06,lubelskie,1517,-275
06,lubelskie,1572,-355
06,lubelskie,1638,-570
06,lubelskie,1701,-610
06,lubelskie,1641,-673
06,lubelskie,1726,-736
06,lubelskie,1707,-799
06,lubelskie,1680,-1040
06,lubelskie,1638,-1085
06,lubelskie,1467,-1127
06,lubelskie,1457,-1181
06,lubelskie,1331,-1304
06,lubelskie,1293,-1250
06,lubelskie,1229,-1247
06,lubelskie,1241,-1202
06,lubelskie,1196,-1146
06,lubelskie,1136,-1196
06,lubelskie,1078,-1160
06,lubelskie,986,-1262
06,lubelskie,739,-1265
06,lubelskie,700,-1229
06,lubelskie,742,-1202
06,lubelskie,612,-1209
06,lubelskie,552,-1151
06,lubelskie,586,-1109
06,lubelskie,652,-1106
06,lubelskie,667,-1082
06,lubelskie,612,-965
06,lubelskie,441,-925
06,lubelskie,402,-868
06,lubelskie,432,-775
06,lubelskie,327,-715
06,lubelskie,255,-764
06,lubelskie,188,-757
08,lubuskie,-3749,1757
08,lubuskie,-3739,1573
08,lubuskie,-3769,1551
08,lubuskie,-3818,1528
08,lubuskie,-3788,1484
08,lubuskie,-3785,1425
08,lubuskie,-3889,1392
08,lubuskie,-3907,1347
08,lubuskie,-3905,1290
08,lubuskie,-3875,1228
08,lubuskie,-3882,1204
08,lubuskie,-3856,1135
08,lubuskie,-3858,1102
08,lubuskie,-3877,1111
08,lubuskie,-3891,1131
08,lubuskie,-3905,1113
08,lubuskie,-3889,1086
08,lubuskie,-3856,1071
08,lubuskie,-3836,1033
08,lubuskie,-3840,982
08,lubuskie,-3867,950
08,lubuskie,-3877,831
08,lubuskie,-3858,806
08,lubuskie,-3849,783
08,lubuskie,-3877,744
08,lubuskie,-3852,717
08,lubuskie,-3799,719
08,lubuskie,-3788,682
08,lubuskie,-3816,659
08,lubuskie,-3758,604
08,lubuskie,-3696,620
08,lubuskie,-3705,526
08,lubuskie,-3623,492
08,lubuskie,-3597,538
08,lubuskie,-3497,464
08,lubuskie,-3493,403
08,lubuskie,-3520,370
08,lubuskie,-3526,338
08,lubuskie,-3581,285
08,lubuskie,-3602,235
08,lubuskie,-3657,265
08,lubuskie,-3634,315
08,lubuskie,-3670,315
08,lubuskie,-3657,372
08,lubuskie,-3699,374
08,lubuskie,-3756,421
08,lubuskie,-3790,421
08,lubuskie,-3801,384
08,lubuskie,-3900,288
08,lubuskie,-3925,162
08,lubuskie,-3991,153
08,lubuskie,-4058,20
08,lubuskie,-4134,118
08,lubuskie,-4228,120
08,lubuskie,-4260,-15
08,lubuskie,-4349,49
08,lubuskie,-4493,-60
08,lubuskie,-4487,38
08,lubuskie,-4684,162
08,lubuskie,-4645,210
08,lubuskie,-4645,315
08,lubuskie,-4709,480
08,lubuskie,-4647,582
08,lubuskie,-4617,799
08,lubuskie,-4631,943
08,lubuskie,-4670,923
08,lubuskie,-4732,971
08,lubuskie,-4739,1033
08,lubuskie,-4755,1067
08,lubuskie,-4745,1117
08,lubuskie,-4695,1124
08,lubuskie,-4638,1184
08,lubuskie,-4641,1248
08,lubuskie,-4757,1347
08,lubuskie,-4684,1381
08,lubuskie,-4626,1381
08,lubuskie,-4572,1361
08,lubuskie,-4521,1429
08,lubuskie,-4524,1491
08,lubuskie,-4478,1533
08,lubuskie,-4443,1606
08,lubuskie,-4340,1560
08,lubuskie,-4186,1624
08,lubuskie,-4205,1686
08,lubuskie,-4157,1672
08,lubuskie,-4126,1709
08,lubuskie,-4026,1741
08,lubuskie,-3969,1686
08,lubuskie,-3887,1721
08,lubuskie,-3872,1783
08,lubuskie,-3816,1842
08,lubuskie,-3735,1837
08,lubuskie,-3719,1810
08,lubuskie,-3749,1757
10,lodzkie,-1582,975
10,lodzkie,-1537,904
10,lodzkie,-1468,899
10,lodzkie,-1438,854
10,lodzkie,-1373,819
10,lodzkie,-1225,874
10,lodzkie,-1171,864
10,lodzkie,-1087,819
10,lodzkie,-1082,760
10,lodzkie,-1057,711
10,lodzkie,-959,662
10,lodzkie,-993,588
10,lodzkie,-943,557
10,lodzkie,-928,523
10,lodzkie,-968,488
10,lodzkie,-909,459
10,lodzkie,-810,498
10,lodzkie,-760,439
10,lodzkie,-711,424
10,lodzkie,-647,374
10,lodzkie,-686,374
10,lodzkie,-666,286
10,lodzkie,-626,261
10,lodzkie,-647,182
10,lodzkie,-731,192
10,lodzkie,-785,221
10,lodzkie,-835,186
10,lodzkie,-840,152
10,lodzkie,-775,78
10,lodzkie,-800,9
10,lodzkie,-736,14
10,lodzkie,-736,-43
10,lodzkie,-810,-117
10,lodzkie,-810,-186
10,lodzkie,-859,-197
10,lodzkie,-845,-295
10,lodzkie,-884,-271
10,lodzkie,-923,-271
10,lodzkie,-923,-335
10,lodzkie,-978,-326
10,lodzkie,-1097,-345
10,lodzkie,-1121,-414
10,lodzkie,-1116,-479
10,lodzkie,-1071,-488
10,lodzkie,-1087,-597
10,lodzkie,-1205,-514
10,lodzkie,-1230,-588
10,lodzkie,-1230,-631
10,lodzkie,-1265,-703
10,lodzkie,-1341,-712
10,lodzkie,-1413,-661
10,lodzkie,-1464,-679
10,lodzkie,-1533,-534
10,lodzkie,-1557,-543
10,lodzkie,-1588,-489
10,lodzkie,-1626,-501
10,lodzkie,-1644,-540
10,lodzkie,-1761,-495
